NAME,STRUCTURE,KEY SIZE (bits),SECURITY/STRENGTH LEVEL,COMMON USE,PROCESSING TIME,BLOCK SIZE (bits),Is it standardized?,Suitability for low power or constrained devices?,Suitable for TLS and VPN,Suitable for storage,Suitable for high throughput streaming,Hardware acceleration,Common vulnerabilities / attacks,Sources
3DES,Feistel,168,Medium,Legacy general purpose,Slow,64,Yes,No,Limited,Limited,No,Medium,64 bit block birthday issues; meet in the middle; legacy and slow.,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-67r2.pdf
DES,Feistel,56,Low,Legacy general purpose,Medium,64,Yes,Limited,No,No,No,Medium,56 bit key brute forced in practice; completely broken.,https://csrc.nist.gov/files/pubs/fips/46-3/final/docs/fips46-3.pdf?
Blowfish,Feistel,128,Medium,Legacy general purpose,Medium,64,No,Limited,Limited,Limited,Limited,Low,64 bit block birthday issues; some weak key classes; no full practical break.,https://www.schneier.com/academic/blowfish/
IDEA,Lai–Massey,128,Medium,Legacy general purpose,Medium,64,Yes,Limited,No,Limited,Limited,Medium,64 bit block; some weak keys and related key style attacks; still unbroken in practice.,https://link.springer.com/chapter/10.1007/3-540-46877-3_35
Magma (GOST 28147-89),Feistel,256,Medium,Legacy general purpose,Medium,64,Yes,Limited,Limited,Limited,Limited,High,Known S-box-specific attacks; depends heavily on S-box selection,https://www.rfc-editor.org/rfc/rfc5830.html
CAST-128,Feistel,128,Medium,Legacy general purpose,Medium,64,Yes,Limited,No,Limited,Limited,Medium,Reduced round and related key attacks; 64 bit block limits large volume security.,https://datatracker.ietf.org/doc/rfc2144/
Skipjack,Feistel,80,Low,Legacy general purpose,Medium,64,No,Limited,No,Limited,No,Medium,80 bit key and 64 bit block; structural weaknesses and slide style attacks; deprecated.,https://mojoauth.com/encryption-decryption/shacal-2-256-encryption--python/
PRESENT,SPN,"80, 128",Medium,Lightweight / IoT,Slow,64,Yes,Yes,No,Limited,No,High,64 bit block; reduced round differential attacks; limited margin for very large data.,https://link.springer.com/chapter/10.1007/978-3-540-74735-2_31
CLEFIA,Feistel,"128, 192, 256",High,Lightweight / IoT,Medium,128,Yes,Yes,Limited,Yes,Yes,High,Reduced round and related key attacks; full rounds still secure in practice.,https://datatracker.ietf.org/doc/html/rfc6114
XTEA,Feistel,128,Medium,Lightweight / IoT,Medium,64,No,Yes,No,Limited,Limited,Medium,Related key and chosen plaintext attacks; security margin lower than modern designs.,https://mojoauth.com/encryption-decryption/xtea-128-encryption--haskell/
